Ak,irri,env,fld_c,Kp,Name
4344.064657,0.797073081,0.754966887,0,833.8429835,Other solutions
4350.88426,0.710013709,0.754966887,0,836.3290287,Other solutions
4349.980963,0.704688936,0.754966887,0,836.5641966,Other solutions
4351.239233,0.693500571,0.754966887,0,837.1985145,Other solutions
4348.817674,0.620833246,0.754966887,0,838.8738543,Other solutions
4355.631607,0.549841067,0.754966887,0,841.6251638,Other solutions
4329.752219,0.288567033,0.754966887,0,842.8034351,Other solutions
4338.383759,0.226074265,0.754966887,0,842.0425982,Other solutions
4328.835324,0.220603358,0.754966887,0,843.2487027,Other solutions
4336.492853,0.160427358,0.754966887,0,842.5176944,Other solutions
4334.405002,0.128610364,0.754966887,0,844.4399019,Other solutions
4371.432212,0.869095242,0.741721854,0,837.3879537,Other solutions
4378.412843,0.811447637,0.741721854,0,840.0623496,Other solutions
4385.424032,0.773195184,0.741721854,0,842.792954,Other solutions
4386.172483,0.731028834,0.741721854,0,844.1128496,Other solutions
4393.378914,0.608433153,0.741721854,0,847.0295927,Other solutions
4377.839573,0.417393589,0.741721854,0,848.6465853,Other solutions
4371.108472,0.307144702,0.741721854,0,849.8047901,Other solutions
4375.497905,0.260933996,0.741721854,0,849.8955611,Other solutions
4377.541447,0.259710216,0.741721854,0,849.354818,Other solutions
4373.757579,0.157290959,0.741721854,0,850.6151797,Other solutions
4370.78323,0.025211979,0.741721854,0,851.1021519,Other solutions
4402.731887,0.864550949,0.735099338,0,843.5736666,Other solutions
4401.569671,0.756829601,0.735099338,0,845.9176805,Other solutions
4402.65844,0.733354794,0.735099338,0,847.0561523,Other solutions
4400.219764,0.635743364,0.735099338,0,849.5475581,Other solutions
4403.320885,0.600897266,0.735099338,0,849.3599051,Other solutions
4403.731203,0.595432528,0.735099338,0,849.5693035,Other solutions
4398.647616,0.501744634,0.735099338,0,850.5258986,Other solutions
4407.541348,0.457213177,0.735099338,0,854.5271728,Other solutions
4414.312136,0.434992374,0.735099338,0,854.9503351,Other solutions
4393.285726,0.151815702,0.735099338,0,855.0148457,Other solutions
4400.598995,0.108726571,0.735099338,0,855.6300934,Other solutions
4400.316394,0.070186693,0.735099338,0,856.6353078,Other solutions
4410.041631,0.860744107,0.728476821,0,845.2902897,Other solutions
1000,0,0,-1,180,Min
5100,1,1,0,1000,Max
4440.362354,0.817661132,0.721854305,0,851.9621411,Fair hydropower
4439.968131,0.787198472,0.721854305,0,852.234968,Fair hydropower
4439.465194,0.751706137,0.721854305,0,852.6293092,Fair hydropower
4438.377058,0.745950073,0.721854305,0,853.4797236,Fair hydropower
4437.05964,0.730838223,0.721854305,0,853.5887482,Fair hydropower
4438.771028,0.661211811,0.721854305,0,855.4269924,Fair hydropower
4437.99576,0.560131813,0.721854305,0,856.9010195,Fair hydropower
4438.259093,0.474907768,0.721854305,0,859.4192593,Fair hydropower
4425.505787,0.258200717,0.721854305,0,861.3184423,Fair hydropower
