,,0,1,2,3
600,14,5929.547404962157,0.0650859245285659,0.41721854304635764,1.0
600,15,4514.779994534098,0.05280594974565208,0.8940397350993378,1.0
600,16,7176.596898783733,0.12024686560462479,0.013245033112582738,1.0
600,17,6349.720786204771,0.29312715643093556,0.23178807947019864,1.0
600,18,6030.38905242725,0.20799651689470883,0.3377483443708609,1.0
600,19,6798.052170502318,0.25244355214731745,0.1854304635761589,1.0
600,20,5565.4081173358845,0.05813826751420798,0.5562913907284768,1.0
600,21,6590.77004479181,0.10426201380104434,0.2185430463576159,1.0
600,22,6158.631203670633,0.019302138145092733,0.41721854304635764,1.0
600,23,1152.740816460553,0.1274273991423582,1.0,1.0
600,24,6804.943008530441,0.10133032725811392,0.17218543046357615,1.0
600,25,7063.928517717746,0.11527080672519266,0.08609271523178808,1.0
600,26,5920.834019909277,0.12731331351767658,0.42384105960264906,1.0
600,27,6855.962110592103,0.08893479875431444,0.152317880794702,1.0
600,28,5818.687133250775,0.1611576688413214,0.3708609271523179,1.0
600,29,6955.228881442978,0.12517516269488776,0.13245033112582782,1.0
700,0,5803.12971236603,0.24893254736698736,0.4039735099337748,1.0
700,1,3299.495547764194,0.02739532341897888,1.0,1.0
700,2,1172.0358112799638,0.05484682245219445,1.0,1.0
700,3,6234.649193122693,0.30089694518900373,0.2847682119205298,1.0
700,4,5567.671438333061,0.15729700120982798,0.5165562913907285,1.0
700,5,6411.857701181914,0.03141487096883982,0.304635761589404,1.0
700,6,5629.095966062745,0.05950952557136059,0.5364238410596027,1.0
700,7,5482.917728027988,0.16508753122896044,0.5827814569536424,1.0
700,8,5929.547404962157,0.0650859245285659,0.41721854304635764,1.0
700,9,4514.779994534098,0.05280594974565208,0.8940397350993378,1.0
700,10,7176.596898783733,0.12024686560462479,0.013245033112582738,1.0
700,11,6349.720786204771,0.29312715643093556,0.23178807947019864,1.0
700,12,5565.4081173358845,0.05813826751420798,0.5562913907284768,1.0
700,13,6158.631203670633,0.019302138145092733,0.41721854304635764,1.0
700,14,1152.740816460553,0.1274273991423582,1.0,1.0
700,15,7063.928517717746,0.11527080672519266,0.08609271523178808,1.0
700,16,5920.834019909277,0.12731331351767658,0.42384105960264906,1.0
700,17,6346.3052353575695,0.24786036427973157,0.26490066225165565,1.0
700,18,5916.453105606059,0.07093167597246926,0.45033112582781454,1.0
