,,0,1,2,3
400,21,1551.7299278613632,0.15703725786397538,1.0,0.0
400,22,4510.859077597724,0.04887874874459107,0.6438356164383562,0.0
400,23,3111.77945671929,0.055851687507781224,0.8246575342465754,0.0
400,24,4509.550106810615,0.18707657078377674,0.6630136986301369,0.0
500,0,2394.9589493923804,0.03427446489422645,0.863013698630137,0.0
500,1,3633.225331762576,0.12447366001094011,0.7205479452054795,0.0
500,2,4509.047517482977,0.2549288942958761,0.6575342465753424,0.0
500,3,3706.6621375473674,0.03280671356508466,0.7068493150684931,0.0
500,4,2831.373085372102,0.01417350515935269,0.8301369863013699,0.0
500,5,2202.7214087191373,0.10293385516851704,1.0,0.0
500,6,4511.988484843605,0.21332305834586096,0.6273972602739726,0.0
500,7,3406.545946163163,0.03281027471443797,0.7616438356164383,0.0
500,8,2214.710977329766,0.09083372093119528,1.0,0.0
500,9,4199.585383432818,0.1560761338580095,0.673972602739726,0.0
500,10,2662.6054997595147,0.22066058027317811,0.7452054794520548,0.0
500,11,4511.359557437758,0.45487625917541785,0.6301369863013699,0.0
500,12,3687.5179583442014,0.02794244244673573,0.7506849315068493,0.0
500,13,2736.030720811066,0.11105437503285923,0.8328767123287671,0.0
500,14,1551.7299278613632,0.15703725786397538,1.0,0.0
500,15,4510.859077597724,0.04887874874459107,0.6438356164383562,0.0
500,16,3111.77945671929,0.055851687507781224,0.8246575342465754,0.0
500,17,3201.3346578268233,0.13082213925615563,0.8136986301369863,0.0
500,18,3536.990223982209,0.05649266236773573,0.7424657534246575,0.0
500,19,3311.1490270696095,0.19873826511079448,0.7917808219178082,0.0
500,20,3313.6297204333637,0.06983990101215232,0.7726027397260273,0.0
500,21,2334.6497249306863,0.05048786467860346,0.9534246575342465,0.0
500,22,4131.554534001068,0.25260417493243614,0.6849315068493151,0.0
500,23,4511.648993143381,0.17478406030874058,0.6301369863013699,0.0
500,24,3448.2032117884696,0.05874948198928257,0.7561643835616438,0.0
500,25,4510.252123985343,0.1908972762208959,0.6602739726027398,0.0
600,0,2394.9589493923804,0.03427446489422645,0.863013698630137,0.0
600,1,3633.225331762576,0.12447366001094011,0.7205479452054795,0.0
600,2,4509.047517482977,0.2549288942958761,0.6575342465753424,0.0
600,3,3706.6621375473674,0.03280671356508466,0.7068493150684931,0.0
600,4,2831.373085372102,0.01417350515935269,0.8301369863013699,0.0
600,5,2202.7214087191373,0.10293385516851704,1.0,0.0
